Designator "Mid X" "Mid Y" Layer Rotation
C1 22.184 44.983 Top 0
C2 22.184 43.713 Top 0
C3 29.55 41.681 Top 90
C4 22.6936 31.5696 Top 0
C5 37.17 38.125 Top 270
C6 22.184 39.903 Top 270
C7 19.644 39.903 Top 270
C8 56.474 37.363 Top 0
C9 56.474 35.331 Top 0
C10 52.6538 47.031 Top 90
C11 49.616 44.983 Top 0
C12 57.49 47.269 Top 90
C13 62.554 47.269 Top 90
C14 71.823 39.3165 Top 270
C15 73.4105 39.3165 Top 270
C16 36.07 11.625 Top 270
C17 25.91 11.625 Top 270
C18 23.37 11.625 Top 270
C19 11.525659375 23.307403125 Top 180
C20 13.917975 34.40608125 Top 90
C21 11.927746875 34.442696875 Top 90
C22 85.571778125 15.481146875 Top 270
C23 36.8558 5.5724 Top 270
C24 43.47164375 42.96926875 Top 180
C25 46.568 40.919 Top 0
C26 29.389134375 22.11664375 Top 0
C27 31.09234375 32.661259375 Top 180
C28 49.616 38.887 Top 180
C29 78.607853125 11.519221875 Top 180
C30 92.5032375 43.536478125 Top 0
C31 92.511296875 45.5050375 Top 0
C32 83.816090625 22.27368125 Top 90
C33 85.58979375 22.28625625 Top 90
C34 72.587615625 22.950003125 Top 0
C35 72.59211875 24.756921875 Top 0
C36 77.10156875 24.97775 Top 180
C37 77.104415625 23.03903125 Top 180
C38 100.6980125 42.4133375 Top 0
C39 98.269059375 8.22005625 Top 0
C40 98.29523125 9.993734375 Top 0
C41 94.5482 34.492921875 Top 0
C42 89.541459375 28.29810625 Top 180
C43 88.940515625 8.28975625 Top 0
C44 80.545046875 18.214171875 Top 0
C45 80.551871875 14.826984375 Top 180
C46 88.90803125 4.36465 Top 0
C47 70.62865625 14.704671875 Top 270
C48 68.841971875 14.70188125 Top 270
C49 46.5468 44.971 Top 180
D1 34.122 38.633 Top 270
IC1 32.344 46.507 Top 270
IC2 39.946 33.323 Top 270
IC3 14.074 12.447 Top 90
IC4 56.728 41.427 Top 0
IC5 79.79 35.137 Top 0
IC6 31.136 7.947 Top 270
IC7 9.241 28.994 Top 90
IC8 29.83038125 27.5757625 Top 180
IC9 74.531103125 19.22043125 Top 180
IC10 94.32 7.3275 Top 0
IC11 18.7652 34.208 Top 90
L1 18.374 43.713 Top 180
L2 24.724 39.903 Top 90
L3 56.474 33.299 Top 0
L4 59.522 47.269 Top 270
L5 70.2355 39.3165 Top 270
L6 85.601953125 19.025 Top 270
L7 92.484778125 41.541925 Top 180
L8 77.094775 26.646446875 Top 180
L9 98.232809375 5.972478125 Top 0
L10 72.5892375 26.526909375 Top 0
L11 72.418071875 14.728709375 Top 90
Q1 93.685 37.998 Top 90
R1 28.04 46.663 Top 90
R2 39.456 38.125 Top 90
R3 17.104 39.903 Top 270
R4 27.264 39.903 Top 90
R5 25.994 43.713 Top 180
R6 26.06 46.605 Top 270
R7 10.248 3.811 Top 180
R8 10.248 16.257 Top 180
R9 10.248 10.161 Top 180
R10 49.616 40.919 Top 0
R11 49.616 42.951 Top 180
R12 54.696 47.015 Top 90
R13 46.568 38.887 Top 180
R14 46.568 42.951 Top 180
R15 91.144071875 34.4852375 Top 0
R16 93.862121875 31.707459375 Top 90
R17 95.5166 41.5712 Top 180
R18 92.919965625 28.291325 Top 180
R19 81.33871875 21.648103125 Top 270
R20 80.542315625 16.506390625 Top 0
R21 89.062628125 10.718628125 Top 0
R22 88.911121875 6.401003125 Top 0
R23 76.494209375 14.970465625 Top 180
R24 94.11759375 10.66824375 Top 180
R25 94.316440625 4.063278125 Top 180
R26 16.004 9.034 Top 180
R27 16 16 Top 180
R28 48.02 46.923 Top 180
R29 34.752 42.559 Top 270
R30 19.6956 30.3002 Top 90
R31 24.2098 34.276 Top 90
R32 22.0982 34.2532 Top 270
