Partlist

Exported from 4001_4153_LO_V2.brd at 26/11/2022 21:42:16

EAGLE Version 6.2.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                Package                  Library         Position (mm)         Orientation

C1       3.9pF                C0603                    resistor        (22.184 44.983)       R0
C2       27pF                 C0603                    resistor        (22.184 43.713)       R0
C3       100nF                C0603                    resistor        (29.55 41.681)        R90
C5       100nF                C0603                    resistor        (37.17 38.125)        R270
C6       390p                 C0603                    resistor        (22.184 39.903)       R270
C7       2.7nF                C0603                    resistor        (19.644 39.903)       R270
C8       1uF                  C0603                    resistor        (56.474 37.363)       R0
C9       100nF                C0603                    resistor        (56.474 35.331)       R0
C10      22nF                 C0603                    resistor        (52.6538 47.031)      R90
C11      10nF                 C0603                    resistor        (49.616 44.983)       R0
C12      1uF                  C0603                    resistor        (57.49 47.269)        R90
C13      100nF                C0603                    resistor        (62.554 47.269)       R90
C14      1uF                  C0603                    resistor        (71.823 39.3165)      R270
C15      100nF                C0603                    resistor        (73.4105 39.3165)     R270
C16      100nF                C0805                    rcl             (36.07 11.625)        R270
C17      100nF                C0805                    rcl             (25.91 11.625)        R270
C18      10uF                 C0805                    rcl             (23.37 11.625)        R270
C19      100nF                C0805                    rcl             (14.219796875 22.414459375) R270
C20      10uF                 C0805                    rcl             (19.40608125 23.082025) R0
C21      100nF                C0805                    rcl             (19.442696875 25.072253125) R0
C22      100nF                C0805                    rcl             (85.571778125 15.481146875) R270
C23      100nF                C0603                    rcl             (49.6414 30.2002)     R180
C24      100nF                C0603                    rcl             (43.47164375 42.96926875) R180
C25      1uF                  C0603                    rcl             (46.568 40.919)       R0
C26      100nF                C0805                    rcl             (29.389134375 22.11664375) R0
C27      100nF                C0805                    rcl             (31.09234375 32.661259375) R180
C28      1nF                  C0603                    resistor        (49.616 38.887)       R180
C29      1nF                  C0603                    resistor        (78.607853125 11.519221875) R180
C30      100nF                C0603                    resistor        (92.5032375 43.536478125) R0
C31      1uF                  C0603                    resistor        (92.511296875 45.5050375) R0
C32      100nF                C0603                    resistor        (83.816090625 22.27368125) R90
C33      1uF                  C0603                    resistor        (85.58979375 22.28625625) R90
C34      100nF                C0603                    resistor        (72.587615625 22.950003125) R0
C35      1uF                  C0603                    resistor        (72.59211875 24.756921875) R0
C36      1uF                  C0603                    resistor        (77.10156875 24.97775) R180
C37      100nF                C0603                    resistor        (77.104415625 23.03903125) R180
C38      100pF                C0603                    resistor        (100.6980125 42.4133375) R0
C39      100nF                C0603                    resistor        (98.269059375 8.22005625) R0
C40      1uF                  C0603                    resistor        (98.29523125 9.993734375) R0
C41      100pF                C0603                    resistor        (94.5482 34.492921875) R0
C42      100pF                C0603                    resistor        (89.541459375 28.29810625) R180
C43      6.8nF                C0603                    resistor        (88.940515625 8.28975625) R0
C44      22nF                 C0603                    resistor        (80.545046875 18.214171875) R0
C45      10nF                 C0603                    resistor        (80.551871875 14.826984375) R180
C46      15nF                 C0603                    resistor        (88.93343125 4.39005) R0
C47      1uF                  C0603                    resistor        (70.62865625 14.704671875) R270
C48      100nF                C0603                    resistor        (68.841971875 14.70188125) R270
C49      10nF                 C0603                    resistor        (46.5468 44.971)      R180
D1       BAS70-04             SOT23                    diode           (34.122 38.633)       R0
IC1      74LVC2G17GV,125      SOT95P275X110-6N         74LVC2G17GV_125 (32.344 46.507)       R0
IC2      74LVC2G17GV,125      SOT95P275X110-6N         74LVC2G17GV_125 (39.946 33.323)       R0
IC3      74LVC2G17GV,125      SOT95P275X110-6N         74LVC2G17GV_125 (14.074 12.447)       R180
IC4      ADF4001BRUZ          SOP65P640X120-16N        ADF4001BRUZ     (56.728 41.427)       R0
IC5      ATTINY45V-10SU       SOIC127P798X216-8N       ATTINY45V-10SU  (79.79 35.137)        R90
IC6      7805DT               TO252                    linear          (31.136 7.947)        R180
IC7      7809DT               TO252                    linear          (13.994 27.759)       R0
IC8      LD1117AS33TR         SOT223                   v-reg           (29.83038125 27.5757625) R270
IC9      ADF4153BRUZ-RL7      SOP65P640X120-16N        ADF4153BRUZ-RL7 (74.531103125 19.22043125) R180
IC10     MCP6H01              SOT23-5                  RF              (94.32 7.3275)        R0
L1       8.2uH                R0603                    resistor        (18.374 43.713)       R180
L2       82nH                 R0603                    resistor        (24.724 39.903)       R90
L3       100nH                R0603                    resistor        (56.474 33.299)       R0
L4       100nH                R0603                    resistor        (59.522 47.269)       R270
L5       100nH                R0603                    resistor        (70.2355 39.3165)     R270
L6       100nH                R0603                    resistor        (85.601953125 19.025) R270
L7       100nH                R0603                    resistor        (92.484778125 41.541925) R180
L8       100nH                R0603                    resistor        (77.094775 26.646446875) R180
L9       100nH                R0603                    resistor        (98.232809375 5.972478125) R0
L10      100nH                R0603                    resistor        (72.5892375 26.526909375) R0
L11      100nH                R0603                    resistor        (72.418071875 14.728709375) R90
LED1     EXT AVAIL            LED3MM                   led             (7.184 6.827)         R90
LED2     EXT LOCK             LED3MM                   led             (7.184 19.527)        R90
LED3     OP VCO LOCK          LED3MM                   led             (7.184 13.177)        R90
LSP1     LSP13                LSP13                    solpad          (7.42 26.695)         R0
OSC1     CTI_OSC              CTI_OSC                  RF              (51.14 15.265)        R90
OSC2     CRSYTELEK_127        CRYSTEK_VCO              RF              (87.880125 13.1765375) R0
Q1       PGA105+              SOT89                    zetex           (93.685 37.998)       R90
R1       1K                   R0603                    rcl             (28.04 46.663)        R90
R2       100K                 R0603                    rcl             (39.456 38.125)       R90
R3       51R                  R0603                    rcl             (17.104 39.903)       R270
R4       51R                  R0603                    rcl             (27.264 39.903)       R90
R5       51R                  R0603                    rcl             (25.994 43.713)       R180
R6       3K3                  R0603                    rcl             (26.06 46.605)        R270
R7       51R                  R0603                    rcl             (10.248 3.811)        R180
R8       51R                  R0603                    rcl             (10.248 16.257)       R180
R9       51R                  R0603                    rcl             (10.248 10.161)       R180
R10      51R                  R0603                    rcl             (49.616 40.919)       R0
R11      150R                 R0603                    rcl             (49.616 42.951)       R180
R12      5K1                  R0603                    rcl             (54.696 47.015)       R90
R13      47K                  R0603                    rcl             (46.568 38.887)       R180
R14      10K                  R0603                    rcl             (46.568 42.951)       R180
R15      TO TASTE             R0603                    rcl             (91.144071875 34.4852375) R0
R16      TO TASTE             R0603                    rcl             (93.862121875 31.707459375) R90
R17      10R                  R0603                    rcl             (95.5166 41.5712)     R180
R18      18K                  R0603                    rcl             (92.919965625 28.291325) R180
R19      51R                  R0603                    rcl             (81.33871875 21.648103125) R270
R20      150R                 R0603                    rcl             (80.542315625 16.506390625) R0
R21      27k                  R0603                    rcl             (89.062628125 10.718628125) R0
R22      39k                  R0603                    rcl             (88.911121875 6.401003125) R0
R23      5K1                  R0603                    rcl             (76.494209375 14.970465625) R180
R24      18K                  R0603                    rcl             (94.11759375 10.66824375) R180
R25      10K                  R0603                    rcl             (94.316440625 4.063278125) R180
R26      10K                  R0603                    rcl             (16.004 9.034)        R180
R27      10K                  R0603                    rcl             (16 16)               R180
R28      150R                 R0603                    rcl             (48.02 46.923)        R180
R29      100K                 R0603                    rcl             (34.752 42.559)       R270
SCK1     SMA-142-0701-871/876 J502-ND-142-0701-871/876 con-coax        (0.254 42.363)        R0
SCK2     SMA-142-0701-871/876 J502-ND-142-0701-871/876 con-coax        (108.798 42.363)      R180
SJ1                           SJ                       jumper          (74.448 36.041)       R180
SV1                           ML6                      con-harting-ml  (78.52 45.551)        R0
TXFMR1   ADT1-1WT-1+          SOP254P691X284-6N        ADT1-1WT-1+     (11.008 40.919)       R0
VR1      1K0                  RTRIM64Y                 resistor        (49.3054 32.6186)     R270
